pair,acronym,description,frequency_all_disciplines
"('OMS', 'otitis media serosa')",OMS,otitis media serosa,2
"('Venezuela', 'venezolano de la encefalomielitis equina ocurrida en 1962 en el estado zulia')",Venezuela,venezolano de la encefalomielitis equina ocurrida en 1962 en el estado zulia,4
"('SUDEP', 'subita asociada a la epilepsia')",SUDEP,subita asociada a la epilepsia,1
"('NIA', 'necesidades insatisfechas de anticoncepción')",NIA,necesidades insatisfechas de anticoncepción,2
"('AT', 'autotrasplante')",AT,autotrasplante,6
"('RBZDs', 'receptores de benzodiazepinas centrales')",RBZDs,receptores de benzodiazepinas centrales,2
"('ECTC', 'epilepsia con crisis tonicoclonicas solo')",ECTC,epilepsia con crisis tonicoclonicas solo,3
"('MNA', 'mini nutricional assessment')",MNA,mini nutricional assessment,2
"('DA', 'del alcohol')",DA,del alcohol,2
"('HaD', 'hospitalización a domicilio')",HaD,hospitalización a domicilio,2
"('FRCV', 'factores de riesgo cardiovascular')",FRCV,factores de riesgo cardiovascular,16
"('DBC', 'dietas bajas en carbohidratos')",DBC,dietas bajas en carbohidratos,3
"('EV', 'enterovirus sp.')",EV,enterovirus sp.,2
"('PEVAC', 'pie equinovaro aducto congénito')",PEVAC,pie equinovaro aducto congénito,3
"('BEP', 'bleomicina y vinblastina (pvb) o etoposido')",BEP,bleomicina y vinblastina (pvb) o etoposido,7
"('REPIR', 'registro español pediátrico de insuficiencia renal terminal')",REPIR,registro español pediátrico de insuficiencia renal terminal,5
"('EO', 'enfermedad osteoarticular')",EO,enfermedad osteoarticular,3
"('IL-10', 'interleucina 10')",IL-10,interleucina 10,3
"('EEV', 'encefalitis equina venezolana')",EEV,encefalitis equina venezolana,3
"('IN', 'infección nosocomial')",IN,infección nosocomial,9
"('QSM', 'quejas subjetivas de memoria')",QSM,quejas subjetivas de memoria,2
"('LMA', 'leucemia mieloblástica')",LMA,leucemia mieloblástica,5
"('PPCI', 'pubertad precoz central idiopatica')",PPCI,pubertad precoz central idiopatica,4
"('IRSPC', 'iowa rating scale for personality change')",IRSPC,iowa rating scale for personality change,6
"('HPRT', 'hipoxantina guanina fosforribosiltransferasa')",HPRT,hipoxantina guanina fosforribosiltransferasa,4
"('HO', 'hemorragia obstétrica posparto')",HO,hemorragia obstétrica posparto,1
"('HC', 'hemicranea continua')",HC,hemicranea continua,4
"('EPG', 'enfermedad periodontal grave')",EPG,enfermedad periodontal grave,2
"('IC', 'infarto cerebral')",IC,infarto cerebral,2
"('NO', 'nítrico')",NO,nítrico,5
"('CITBM', 'centro de investigaciones, tecnológicas, biomédicas y medioambientales')",CITBM,"centro de investigaciones, tecnológicas, biomédicas y medioambientales",2
"('DP', 'desarrollo psicomotor')",DP,desarrollo psicomotor,1
"('TAD', 'terapia asistida con delfines')",TAD,terapia asistida con delfines,1
"('MSC', 'muerte súbita cardiaca')",MSC,muerte súbita cardiaca,3
"('VFC', 'variabilidad de la frecuencia cardiaca')",VFC,variabilidad de la frecuencia cardiaca,3
"('EVMAC', 'escala para la valoración de la manía por clínicos')",EVMAC,escala para la valoración de la manía por clínicos,1
"('ARCI', 'addiction research center inventory')",ARCI,addiction research center inventory,2
"('CTR', 'cistectomía radical')",CTR,cistectomía radical,7
"('PGN', 'pacientes (75,8%) con glucosa normalizada')",PGN,"pacientes (75,8%) con glucosa normalizada",6
"('NDPD', 'neuropatía diabética periférica dolorosa')",NDPD,neuropatía diabética periférica dolorosa,3
"('NPT', 'nutrición parenteral')",NPT,nutrición parenteral,1
"('CHCV', 'cuestionario sobre los hábitos de consumo de videojuegos')",CHCV,cuestionario sobre los hábitos de consumo de videojuegos,1
"('V.P.H.', 'virus del papiloma humano')",V.P.H.,virus del papiloma humano,6
"('GMF', 'grupo psicoeducacional multifamiliar')",GMF,grupo psicoeducacional multifamiliar,3
"('BPT', 'bajo peso a término')",BPT,bajo peso a término,6
"('MTX', 'methotrexate')",MTX,methotrexate,1
"('P.C.P.', 'poliartritis crónica progresiva')",P.C.P.,poliartritis crónica progresiva,2
"('V.C.O.', 'vagotomía de células oxíntica')",V.C.O.,vagotomía de células oxíntica,4
"('IADS', 'internacional de sonidos afectivos')",IADS,internacional de sonidos afectivos,1
"('EN', 'educación nutricional')",EN,educación nutricional,3
"('EQ-5D', 'european quality of life-5 dimensions')",EQ-5D,european quality of life-5 dimensions,1
"('LH', 'leche humana')",LH,leche humana,1
"('EN', 'estrategia nueva')",EN,estrategia nueva,1
"('AGA', 'alteración de glucosa en ayunas')",AGA,alteración de glucosa en ayunas,2
"('CA', 'conducta alimentaria')",CA,conducta alimentaria,2
"('ALT', 'alaninoaminotransferasa')",ALT,alaninoaminotransferasa,1
"('EIE-R', 'escala de impacto de evento-revisada')",EIE-R,escala de impacto de evento-revisada,1
"('HAD', 'hospitalización a domicilio')",HAD,hospitalización a domicilio,4
"('DMID', 'diabetes mellitus insulino dependiente')",DMID,diabetes mellitus insulino dependiente,1
"('CAMCOG-DS', ""cambridge cognitive examination for older adults with down's syndrome"")",CAMCOG-DS,cambridge cognitive examination for older adults with down's syndrome,4
"('GC', 'grasa corporal')",GC,grasa corporal,1
"('ACV', 'accidentes cerebrovasculares')",ACV,accidentes cerebrovasculares,17
"('RCV', 'riesgo cardiovascular')",RCV,riesgo cardiovascular,9
"('AAS', 'antecedente de abuso sexual')",AAS,antecedente de abuso sexual,6
"('REV-H-30d', 'revisita a urgencias u hospitalización por ica a 30 días')",REV-H-30d,revisita a urgencias u hospitalización por ica a 30 días,3
"('ABQ', 'ahtlete burnout questionnaire')",ABQ,ahtlete burnout questionnaire,2
"('DO', 'de origen')",DO,de origen,2
"('CAE', 'comisurotomía anterior endoscópica')",CAE,comisurotomía anterior endoscópica,3
"('ANCA', 'anticitoplasma de los neutrófilos')",ANCA,anticitoplasma de los neutrófilos,9
"('TTPa', 'tromboplastina parcial activada')",TTPa,tromboplastina parcial activada,1
"('ACE-R', ""addenbrooke's cognitive examination-revised"")",ACE-R,addenbrooke's cognitive examination-revised,3
"('IT', 'infratentoriales')",IT,infratentoriales,4
"('IDH', 'insatisfechas (nbi), índice de desarrollo humano')",IDH,"insatisfechas (nbi), índice de desarrollo humano",1
"('MTHFR', 'metilentetrahidrofolatorreductasa')",MTHFR,metilentetrahidrofolatorreductasa,3
"('HUSC', 'hospital universitario san carlos')",HUSC,hospital universitario san carlos,2
"('LME', 'lactancia materna exclusiva')",LME,lactancia materna exclusiva,8
"('LEPR', 'lep o en su receptor')",LEPR,lep o en su receptor,3
"('MIAP', 'maltrato entre iguales por abuso de poder')",MIAP,maltrato entre iguales por abuso de poder,2
"('RNP-BP', 'recién nacido prematuro hospitalizado de bajo peso')",RNP-BP,recién nacido prematuro hospitalizado de bajo peso,1
"('EDTA', 'etilén-diamino-tetraacético')",EDTA,etilén-diamino-tetraacético,2
"('E.P.R.', 'esofagitis por reflujo')",E.P.R.,esofagitis por reflujo,2
"('FC', 'fenilcetonuria')",FC,fenilcetonuria,6
"('GB', 'glándulas de brunner')",GB,glándulas de brunner,2
"('Red INMA', ""red de investigación 'infancia y medio ambiente'"")",Red INMA,red de investigación 'infancia y medio ambiente',4
"('RPa', 'razones de prevalencia ajustadas')",RPa,razones de prevalencia ajustadas,3
"('Sinais', 'sistema nacional de información en salud')",Sinais,sistema nacional de información en salud,6
"('TMA', 'tiempo máximo de apnea')",TMA,tiempo máximo de apnea,2
"('EP', 'en profundidad')",EP,en profundidad,1
"('AVE', 'acontecimientos vitales estresantes')",AVE,acontecimientos vitales estresantes,4
"('USE', 'ultrasonografía endoscópica')",USE,ultrasonografía endoscópica,13
"('DIB-R', 'diagnostic interview for bordelines-revised')",DIB-R,diagnostic interview for bordelines-revised,2
"('AVAD', 'años de vida ajustados por discapacidad')",AVAD,años de vida ajustados por discapacidad,4
"('CAS', 'composite abuse scale')",CAS,composite abuse scale,2
"('PA', 'presión arterial')",PA,presión arterial,9
"('E12', 'españa 0012')",E12,españa 0012,7
"('PRP', 'plasma rico en plaquetas')",PRP,plasma rico en plaquetas,9
"('NAA', 'n-acetilaspartato')",NAA,n-acetilaspartato,2
"('IAUC', 'incremento bajo la curva de glucosa')",IAUC,incremento bajo la curva de glucosa,2
"('DAR', 'dolor abdominal recurrente')",DAR,dolor abdominal recurrente,1
"('LRA', 'lesión renal aguda')",LRA,lesión renal aguda,4
"('AL', 'anticoagulante lúpico')",AL,anticoagulante lúpico,4
"('DM', 'diabetes mellitus')",DM,diabetes mellitus,58
"('POCS', 'punta-onda continua durante el sueño')",POCS,punta-onda continua durante el sueño,2
"('SaAP', 'sistema de acreditación en atención primaria')",SaAP,sistema de acreditación en atención primaria,3
"('y II', 'y entrevista clínica')",y II,y entrevista clínica,2
"('PLEDs', 'periódicas epileptiformes lateralizadas')",PLEDs,periódicas epileptiformes lateralizadas,2
"('AV', 'anomalías vasculares')",AV,anomalías vasculares,1
"('IR', 'insuficiencia renal')",IR,insuficiencia renal,2
"('SARM', 'staphylococcus aureus resistente a meticilina')",SARM,staphylococcus aureus resistente a meticilina,4
"('GEMI', 'grupo de estudio multicéntrico del infarto')",GEMI,grupo de estudio multicéntrico del infarto,4
"('FORMIR', 'formativa del libro del residente de otorrinolaringología español')",FORMIR,formativa del libro del residente de otorrinolaringología español,2
"('5-FU', '5-fluor-uracilo')",5-FU,5-fluor-uracilo,2
"('TB-DI', 'test barcelona para discapacidad intelectual')",TB-DI,test barcelona para discapacidad intelectual,2
"('SUH', 'servicios de urgencias hospitalarios')",SUH,servicios de urgencias hospitalarios,24
"('GCP', 'glaucoma congénito primario')",GCP,glaucoma congénito primario,3
"('IR', 'insulino resistencia')",IR,insulino resistencia,3
"('IVE', 'interrupción voluntaria del embarazo')",IVE,interrupción voluntaria del embarazo,8
"('ICAM-1', 'intercelular-1')",ICAM-1,intercelular-1,4
"('CID', 'coagulación intravascular diseminada')",CID,coagulación intravascular diseminada,5
"('ACSC', 'ambulatory care sensitive conditions')",ACSC,ambulatory care sensitive conditions,1
"('APOE', 'apolipoproteína e')",APOE,apolipoproteína e,6
"('UDH', 'unidad de desintoxicacion hospitalaria')",UDH,unidad de desintoxicacion hospitalaria,2
"('HAP-P', 'hipertensión arterial pulmonar primaria')",HAP-P,hipertensión arterial pulmonar primaria,1
"('GesEPOC', 'guía española de la enfermedad pulmonar obstructiva crónica')",GesEPOC,guía española de la enfermedad pulmonar obstructiva crónica,3
"('GABA', 'guías alimentarias basadas en alimentos')",GABA,guías alimentarias basadas en alimentos,3
"('eTFG', 'estimación de la tasa de filtración glomerular')",eTFG,estimación de la tasa de filtración glomerular,4
"('SWLS', 'satisfaction with life scale')",SWLS,satisfaction with life scale,2
"('AUDIT', 'alcohol use disorders identification test')",AUDIT,alcohol use disorders identification test,4
"('PCR-us', 'proteína c reactiva ultrasensible')",PCR-us,proteína c reactiva ultrasensible,2
"('PEPs', 'primeros episodios psicóticos')",PEPs,primeros episodios psicóticos,1
"('LPS', 'laringectomía parcial supracricoidea')",LPS,laringectomía parcial supracricoidea,2
"('GMSI', 'gamapatía monoclonal de significado indeterminado')",GMSI,gamapatía monoclonal de significado indeterminado,6
"('LC', 'leucemia cutis')",LC,leucemia cutis,6
"('FA', 'fibrilación auricular')",FA,fibrilación auricular,10
"('VitD', 'vitamina d')",VitD,vitamina d,3
"('PNAnc', 'pna no complicadas')",PNAnc,pna no complicadas,4
"('H.A.C.R.E.', 'hidro-arsenicismo crónico regional endémico')",H.A.C.R.E.,hidro-arsenicismo crónico regional endémico,2
"('EA-EPOC', 'exacerbación de la enfermedad pulmonar obstructiva crónica')",EA-EPOC,exacerbación de la enfermedad pulmonar obstructiva crónica,1
"('PTTG', 'pituitary tumour-transforming gene')",PTTG,pituitary tumour-transforming gene,3
"('VC', 'vasculitis cutáneas')",VC,vasculitis cutáneas,6
"('FQ', 'fibrosis quística')",FQ,fibrosis quística,9
"('VP+', 'valor predictivo positivo')",VP+,valor predictivo positivo,2
"('EA', 'estudios aleatorizados')",EA,estudios aleatorizados,2
"('HACRE', 'hidroarsenicismo crónico regional endémico')",HACRE,hidroarsenicismo crónico regional endémico,8
"('DI', 'duplicaciones intestinales')",DI,duplicaciones intestinales,4
"('EsC', 'estimulacion cognitiva')",EsC,estimulacion cognitiva,3
"('GBM', 'glioblastoma multiforme')",GBM,glioblastoma multiforme,6
"('SDRA', 'síndrome de distrés respiratorio del adulto')",SDRA,síndrome de distrés respiratorio del adulto,5
"('FSR', 'flujo sanguineo renal')",FSR,flujo sanguineo renal,2
"('IT', 'irrigador transanal')",IT,irrigador transanal,2
"('PRL', 'prolactina')",PRL,prolactina,16
"('EC', 'europa central')",EC,europa central,3
"('RVA', 'reflejo venoarteriolar')",RVA,reflejo venoarteriolar,2
"('SSN', 'sistema semáforo nutricional')",SSN,sistema semáforo nutricional,2
"('ZSO', 'zona suroeste')",ZSO,zona suroeste,5
"('ENSIN 2010', 'encuesta nacional de la situacion nutricional 2010')",ENSIN 2010,encuesta nacional de la situacion nutricional 2010,2
"('ITK', 'inhibidores tirosin kinasa')",ITK,inhibidores tirosin kinasa,2
"('CA', 'consumo de alcohol')",CA,consumo de alcohol,4
"('T@M', 'test de alteración de memoria')",T@M,test de alteración de memoria,3
"('DG', 'dengue grave')",DG,dengue grave,1
"('HBPM', 'heparina de bajo peso molecular')",HBPM,heparina de bajo peso molecular,2
"('TA', 'test de aliento')",TA,test de aliento,4
"('AEH', 'angioedema hereditario')",AEH,angioedema hereditario,3
"('BSF', 'bromosulftaleina')",BSF,bromosulftaleina,2
"('ACSA', 'agencia de calidad sanitaria de andalucía')",ACSA,agencia de calidad sanitaria de andalucía,1
"('SCV', 'secreción cervicovaginal')",SCV,secreción cervicovaginal,4
"('ROP', 'retinopatía del prematuro')",ROP,retinopatía del prematuro,6
"('as', 'agricultores y sus compañeros')",as,agricultores y sus compañeros,5
"('IR', 'inferior a la recomendada')",IR,inferior a la recomendada,3
"('IFI', 'inmunofluorescencia indirecta')",IFI,inmunofluorescencia indirecta,7
"('DSD', 'desarrollo sexual diferente')",DSD,desarrollo sexual diferente,3
"('CB', 'condiciones de bienestar')",CB,condiciones de bienestar,1
"('CN', 'complicaciones neurologicas')",CN,complicaciones neurologicas,7
"('SEDAR', 'sociedad española de anestesiología, reanimación y terapéutica del dolor')",SEDAR,"sociedad española de anestesiología, reanimación y terapéutica del dolor",3
"('CVP', 'catéter venoso periférico')",CVP,catéter venoso periférico,7
"('AIT', 'ataque isquemico transitorio')",AIT,ataque isquemico transitorio,6
"('RedMIVA', 'red de vigilancia microbiológica de la comunidad valenciana')",RedMIVA,red de vigilancia microbiológica de la comunidad valenciana,2
"('TVU', 'tumores de vías urinarias')",TVU,tumores de vías urinarias,5
"('GINA', 'guías internacionales de diagnóstico y tratamiento del asma')",GINA,guías internacionales de diagnóstico y tratamiento del asma,3
"('DCP', 'desnutrición calórico-proteica')",DCP,desnutrición calórico-proteica,3
"('OAH', 'osteoartropatía hipertrófica')",OAH,osteoartropatía hipertrófica,2
"('CPRC', 'cáncer de próstata resistente a la castracion')",CPRC,cáncer de próstata resistente a la castracion,3
"('DCL', 'de comprensión lectora')",DCL,de comprensión lectora,1
"('MI', 'medicina interna')",MI,medicina interna,1
"('OD', 'ojo derecho')",OD,ojo derecho,4
"('SEAN', 'sistemas electrónicos de administración de nicotina')",SEAN,sistemas electrónicos de administración de nicotina,3
"('RICVAL', 'registro de infartos agudos de miocardio de la ciudad de valencia')",RICVAL,registro de infartos agudos de miocardio de la ciudad de valencia,3
"('MSII', 'muerte súbita inesperada infantil')",MSII,muerte súbita inesperada infantil,2
"('LS', 'lactoséricas')",LS,lactoséricas,1
"('SEHAN', 'subescala de hábitos alimentarios en niños')",SEHAN,subescala de hábitos alimentarios en niños,2
"('ISP', 'inventario de sintomas prefrontales')",ISP,inventario de sintomas prefrontales,17
"('PEITHO', 'pulmonary embolism thrombolysis')",PEITHO,pulmonary embolism thrombolysis,4
"('CMC', 'consulta monografica de cefaleas')",CMC,consulta monografica de cefaleas,6
"('ALEH', 'asociación latinoamericana para el estudio del hígado')",ALEH,asociación latinoamericana para el estudio del hígado,1
"('M.P.A', 'male pattern alopecia')",M.P.A,male pattern alopecia,1
"('BN', 'binomial negativa')",BN,binomial negativa,6
"('LDCBG', 'linfomas difusos de células b grandes')",LDCBG,linfomas difusos de células b grandes,1
