pair,acronym,description
"('CPE', 'colangiopancreatografía endoscópica')",CPE,colangiopancreatografía endoscópica
"('STC', 'síndrome del túnel del carpo')",STC,síndrome del túnel del carpo
"('SAHOS', 'sindrome de apnea/hipopnea obstructiva del sueño')",SAHOS,sindrome de apnea/hipopnea obstructiva del sueño
"('LCFA', 'limitación crónica al flujo aéreo')",LCFA,limitación crónica al flujo aéreo
"('IL-2', 'interleucina 2')",IL-2,interleucina 2
"('DF', 'dependencia funcional')",DF,dependencia funcional
"('TAD', 'tensión arterial diastólica')",TAD,tensión arterial diastólica
"('DSE', 'disección submucosa endoscópica')",DSE,disección submucosa endoscópica
"('PAB', 'prostatitis aguda bacteriana')",PAB,prostatitis aguda bacteriana
"('TUG', 'timed up and go')",TUG,timed up and go
"('CMI', 'cirugía mínimamente invasiva')",CMI,cirugía mínimamente invasiva
"('ERIS', 'escuela regional de ingeniería sanitaria')",ERIS,escuela regional de ingeniería sanitaria
"('PIVh', 'parainfluenza virus humano')",PIVh,parainfluenza virus humano
"('IMC', 'indice de masa corporal')",IMC,indice de masa corporal
"('CEMPV', 'cuestionario para la evaluación de la minusvalía en patología vestibular')",CEMPV,cuestionario para la evaluación de la minusvalía en patología vestibular
"('TEPROSIF', 'test para evaluar los procesos fonológicos de simplificación')",TEPROSIF,test para evaluar los procesos fonológicos de simplificación
"('DERTA', 'descenso endorectal trans-anal')",DERTA,descenso endorectal trans-anal
"('ECAAM', 'encuesta de calidad de alimentación del adulto mayor')",ECAAM,encuesta de calidad de alimentación del adulto mayor
"('CC', 'comité de calidad')",CC,comité de calidad
"('TMN', 'tasa de mortalidad neonatal')",TMN,tasa de mortalidad neonatal
"('BETA', 'bateria para la evaluacion de los trastornos afasicos')",BETA,bateria para la evaluacion de los trastornos afasicos
"('PXG', 'pielonefritis xantogranulomatosa')",PXG,pielonefritis xantogranulomatosa
"('LPV', 'leucocidina de panton-valentine')",LPV,leucocidina de panton-valentine
"('EEH', 'espongiformes en humanos')",EEH,espongiformes en humanos
"('DHA', 'docosahexaenoico')",DHA,docosahexaenoico
"('RSIM', 'romanian society of internal medicine')",RSIM,romanian society of internal medicine
"('MNNG', 'metil-n-nitro-n-nitrosoguanidina')",MNNG,metil-n-nitro-n-nitrosoguanidina
"('SENPE', 'sociedad española de nutrición parenteral y enteral')",SENPE,sociedad española de nutrición parenteral y enteral
"('EC', 'europa central')",EC,europa central
"('NoTD', 'no tolerantes al dolor')",NoTD,no tolerantes al dolor
"('DUSOI', 'duke severity of illness scale')",DUSOI,duke severity of illness scale
"('EAs', 'efectos adversos')",EAs,efectos adversos
"('ERCT', 'enfermedad renal crónica terminal')",ERCT,enfermedad renal crónica terminal
"('IES', 'institutos de enseñanza secundaria')",IES,institutos de enseñanza secundaria
"('QTa', 'qt auricular')",QTa,qt auricular
"('OAB-FIM', 'overactive bladder family impact measure')",OAB-FIM,overactive bladder family impact measure
"('MBSRQ', 'multidimensional body self relations questionnaire')",MBSRQ,multidimensional body self relations questionnaire
"('SAdE', 'sociedad andaluza de epilepsia')",SAdE,sociedad andaluza de epilepsia
"('CCC', 'cáncer de cabeza y cuello')",CCC,cáncer de cabeza y cuello
"('QAPAQ', 'qualitative atributes and measurement properties of physical activity questionnaires')",QAPAQ,qualitative atributes and measurement properties of physical activity questionnaires
"('RM', 'resonancia magnetica')",RM,resonancia magnetica
"('Nematoda', 'nematodo parásito romanomermis iyengari (welch, 1964)')",Nematoda,"nematodo parásito romanomermis iyengari (welch, 1964)"
"('E.C.G.', 'electrocardiograma')",E.C.G.,electrocardiograma
"('DS', 'desviación estándar')",DS,desviación estándar
"('SAMFYC', 'sociedad andaluza de medicina familiar y comunitaria')",SAMFYC,sociedad andaluza de medicina familiar y comunitaria
"('EC', 'enfermedad de crohn')",EC,enfermedad de crohn
"('VA', 'valencia')",VA,valencia
"('DE', 'de 25,6 años')",DE,"de 25,6 años"
"('MI', 'medicina interna')",MI,medicina interna
"('MIP-1β', 'macrofágica-1β')",MIP-1β,macrofágica-1β
"('SAOS', 'sindrome de apnea obstructiva del sueño')",SAOS,sindrome de apnea obstructiva del sueño
"('PTUIP', 'programa de tamizaje universal e intervención precoz')",PTUIP,programa de tamizaje universal e intervención precoz
"('HAP-P', 'hipertensión arterial pulmonar primaria')",HAP-P,hipertensión arterial pulmonar primaria
"('DDI', 'de disciplina')",DDI,de disciplina
"('TT', 'testicular')",TT,testicular
"('CUCI', 'colitis ulcerativa crónica ideopática')",CUCI,colitis ulcerativa crónica ideopática
"('MPN', 'museo pedagógico nacional')",MPN,museo pedagógico nacional
"('IMSS', 'instituto mexicano seguro social')",IMSS,instituto mexicano seguro social
"('AEMPS', 'agencia española de medicamentos y productos sanitarios')",AEMPS,agencia española de medicamentos y productos sanitarios
"('UMI', 'unidad de medicina intensiva')",UMI,unidad de medicina intensiva
"('NF1', 'neurofibromatosis de tipo 1')",NF1,neurofibromatosis de tipo 1
"('SVGE', 'sistema de vigilancia de la gripe en españa')",SVGE,sistema de vigilancia de la gripe en españa
"('pacientes', 'personas con sobrepeso u obesidad, interesadas en usar orlistat (prospectos) o usuarios')",pacientes,"personas con sobrepeso u obesidad, interesadas en usar orlistat (prospectos) o usuarios"
"('TRRC', 'terapias de reemplazo renal continuo')",TRRC,terapias de reemplazo renal continuo
"('PAIA', 'plan de atencion al ictus de aragon')",PAIA,plan de atencion al ictus de aragon
"('GNMP', 'glomerulonefritis membranoproliferativa')",GNMP,glomerulonefritis membranoproliferativa
"('FRC', 'factores de riesgo cardiometabólico')",FRC,factores de riesgo cardiometabólico
"('R24', 'recordatorios de 24 horas')",R24,recordatorios de 24 horas
"('TSN', 'terapia sustitutiva con nicotina')",TSN,terapia sustitutiva con nicotina
"('RCVG', 'red centinela de vigilancia de la gripe')",RCVG,red centinela de vigilancia de la gripe
"('GEMA', 'guía española para el manejo del asma')",GEMA,guía española para el manejo del asma
"('ISS', 'injury severity score')",ISS,injury severity score
"('TSP- 1', 'trombospondina-1')",TSP- 1,trombospondina-1
"('BPM', 'batería psicomotora')",BPM,batería psicomotora
"('CI', 'coeficiente intelectual')",CI,coeficiente intelectual
"('SENP', 'sociedad española de neumología pediátrica')",SENP,sociedad española de neumología pediátrica
"('ARH2', 'antagonista receptores h2')",ARH2,antagonista receptores h2
"('UPDRS', ""unified parkinson's disease rating scale"")",UPDRS,unified parkinson's disease rating scale
"('EF', 'estreñimiento funcional')",EF,estreñimiento funcional
"('DM', 'depresión mayor')",DM,depresión mayor
"('HDC', 'hernia diafragmática congénita')",HDC,hernia diafragmática congénita
"('RTA', 'retiniano')",RTA,retiniano
"('DAP IV', 'dipeptidilaminopeptidasa iv')",DAP IV,dipeptidilaminopeptidasa iv
"('SAEI', 'sociedad andaluza de enfermedades infecciosas')",SAEI,sociedad andaluza de enfermedades infecciosas
"('SS', 'shock séptico')",SS,shock séptico
"('AEBI', 'asociación nacional de bioética y ética médica')",AEBI,asociación nacional de bioética y ética médica
"('ITcc', 'incapacidad temporal por contingencia común')",ITcc,incapacidad temporal por contingencia común
"('TRS', 'trastornos respiratorios del sueño')",TRS,trastornos respiratorios del sueño
"('ERO', 'especies reactivas de oxígeno')",ERO,especies reactivas de oxígeno
"('ITA', 'incapacidad temporal atribuible')",ITA,incapacidad temporal atribuible
"('UDG', 'universidad de guadalajara')",UDG,universidad de guadalajara
"('HAD', 'hospital anxiety and depression scale')",HAD,hospital anxiety and depression scale
"('PANDA', 'programa nacional de cáncer del adulto')",PANDA,programa nacional de cáncer del adulto
"('ESI', 'emergency severity index')",ESI,emergency severity index
"('PHM', 'perfil hormonal masculino')",PHM,perfil hormonal masculino
"('IRCV', 'integrado de riesgo cardiovascular')",IRCV,integrado de riesgo cardiovascular
"('HoNOS-LD', 'health of the nation outcome scales for people with learning disabilities')",HoNOS-LD,health of the nation outcome scales for people with learning disabilities
"('CAN', 'con enfermedad esquizofrénica')",CAN,con enfermedad esquizofrénica
"('SIER-CV', 'sistema de información de enfermedades raras de la cv')",SIER-CV,sistema de información de enfermedades raras de la cv
"('LACRE', 'latinoamericana en educación de residentes')",LACRE,latinoamericana en educación de residentes
"('OPELUCE', 'organización peruana de lucha contra la ceguera')",OPELUCE,organización peruana de lucha contra la ceguera
"('LCP', 'leucemia de células peludas')",LCP,leucemia de células peludas
"('SOD', 'superóxido dismutasa')",SOD,superóxido dismutasa
"('CB', 'cirugía bariátrica')",CB,cirugía bariátrica
"('CCI', 'correlación intraclase')",CCI,correlación intraclase
"('TG', 'triacilglicerol')",TG,triacilglicerol
"('PTFE', 'politetrafluoroetileno expandido')",PTFE,politetrafluoroetileno expandido
"('CA195', 'carbono 195')",CA195,carbono 195
"('GCCB-S', 'grupo cooperativo de carcinoma broncogénico de separ')",GCCB-S,grupo cooperativo de carcinoma broncogénico de separ
"('IPK', 'instituto de medicina tropical ""pedro kouri""')",IPK,"instituto de medicina tropical ""pedro kouri"""
"('IC 95%', 'intervalos de confianza de 95%')",IC 95%,intervalos de confianza de 95%
"('SNSE', 'sensible a esteroides')",SNSE,sensible a esteroides
"('GBM', 'glioblastoma multiforme')",GBM,glioblastoma multiforme
"('PAA', 'programas de ayuda alimentaria')",PAA,programas de ayuda alimentaria
"('ADS', 'anomalías de la diferenciación sexual')",ADS,anomalías de la diferenciación sexual
"('CCC', 'congènita crítica')",CCC,congènita crítica
"('ENG', 'electroneurograma')",ENG,electroneurograma
"('Nematoda', 'nematodo romanomermis iyengari')",Nematoda,nematodo romanomermis iyengari
"('LARCE', 'laboratorio regional de citología exfoliativa')",LARCE,laboratorio regional de citología exfoliativa
"('BEP', 'bleomicina y vinblastina (pvb) o etoposido')",BEP,bleomicina y vinblastina (pvb) o etoposido
"('IFI', 'inmunofluorescenia')",IFI,inmunofluorescenia
"('TN', 'transición nutricia')",TN,transición nutricia
"('SCIVDc', 'sindrome de coagulación intravascular diseminada crónica')",SCIVDc,sindrome de coagulación intravascular diseminada crónica
"('NL', 'nefritis lúpica')",NL,nefritis lúpica
"('ML', 'malformaciones linfáticas')",ML,malformaciones linfáticas
"('C.R.', 'cirugía radical')",C.R.,cirugía radical
"('USSO', 'utilización de servicios de salud odontológicos')",USSO,utilización de servicios de salud odontológicos
"('PPCI', 'pubertad precoz central idiopatica')",PPCI,pubertad precoz central idiopatica
"('CSPL', 'colposacropexia laparoscópica')",CSPL,colposacropexia laparoscópica
"('ASSIST', 'and substance involvement screening test')",ASSIST,and substance involvement screening test
"('MNIO', 'monitorizacion neurofisiologica intraoperatoria')",MNIO,monitorizacion neurofisiologica intraoperatoria
"('TE', 'tablero espinal')",TE,tablero espinal
"('AP', 'anteroposterior')",AP,anteroposterior
"('AMPA', 'automedida de presión arterial domiciliaria')",AMPA,automedida de presión arterial domiciliaria
"('PEG', 'para edad gestacional')",PEG,para edad gestacional
"('OD', 'oxigenoterapia domiciliaria')",OD,oxigenoterapia domiciliaria
"('L.C.R.', 'liquido cefalorraquídeo')",L.C.R.,liquido cefalorraquídeo
"('SNG', 'sondas nasogástricas')",SNG,sondas nasogástricas
"('ECA', 'enzima convertidora de angiotensina')",ECA,enzima convertidora de angiotensina
"('CCI', 'correlación intra-clase')",CCI,correlación intra-clase
"('HChr', 'hormona de crecimiento humana recombinante')",HChr,hormona de crecimiento humana recombinante
"('A.T.P.', 'angioplastia transluminal percutánea')",A.T.P.,angioplastia transluminal percutánea
"('PSRs', 'puntuaciones sumarias recientes')",PSRs,puntuaciones sumarias recientes
"('TVNMI', 'tumor vesical no musculo invasivo')",TVNMI,tumor vesical no musculo invasivo
"('ARCI', 'addiction research center inventory')",ARCI,addiction research center inventory
"('SNSAF', 'spain: nutrition survey of the armed forces')",SNSAF,spain: nutrition survey of the armed forces
"('TCI', 'temperament and character inventory')",TCI,temperament and character inventory
"('APC', 'apexcardiograma')",APC,apexcardiograma
"('IE', 'intubar en estático')",IE,intubar en estático
"('y IV', 'y actividad física en personas sanas')",y IV,y actividad física en personas sanas
"('AISBE', 'análisis del área integral de salud barcelona esquerra')",AISBE,análisis del área integral de salud barcelona esquerra
"('EIPID', 'enfermedad inmunoproliferativa del intestino delgado')",EIPID,enfermedad inmunoproliferativa del intestino delgado
"('CELADE', 'centro latinoamericano de demografia')",CELADE,centro latinoamericano de demografia
"('ATC', 'artroplastia total de cadera')",ATC,artroplastia total de cadera
"('RR', 'riesgos relativos')",RR,riesgos relativos
"('SNT', 'sepsis neonatal temprana')",SNT,sepsis neonatal temprana
"('CuSEMF', 'curso semiescolarizado de especialización en medicina familiar')",CuSEMF,curso semiescolarizado de especialización en medicina familiar
"('HPN', 'hipotension nocturna')",HPN,hipotension nocturna
"('INNN', 'instituto nacional de neurología y neurocirugía')",INNN,instituto nacional de neurología y neurocirugía
"('vih', 'virus de la inmunodeficiencia humana')",vih,virus de la inmunodeficiencia humana
"('MC-1', 'mc tipo 1')",MC-1,mc tipo 1
"('CONUT', 'conocimiento nutricional o método ulibarri')",CONUT,conocimiento nutricional o método ulibarri
"('DPN', 'derrame pleural neoplásico')",DPN,derrame pleural neoplásico
"('D.V.T.A.', 'drenaje venoso pulmonar anómalo total')",D.V.T.A.,drenaje venoso pulmonar anómalo total
"('ISAK', 'international society for the advancement of kinanthropometry')",ISAK,international society for the advancement of kinanthropometry
"('AAS', 'acido acetilsalicilico')",AAS,acido acetilsalicilico
"('AEHH', 'asociación española de hematolgía y hemoterapia')",AEHH,asociación española de hematolgía y hemoterapia
"('PNCT', 'programa nacional de control de la tuberculosis')",PNCT,programa nacional de control de la tuberculosis
"('IC', 'intervalos de confianza')",IC,intervalos de confianza
"('SRAS', 'síndrome respiratorio agudo severo')",SRAS,síndrome respiratorio agudo severo
"('ECN', 'enterocolitis necrotizante')",ECN,enterocolitis necrotizante
"('EMS', 'epilepsia mioclónica severa de la infancia')",EMS,epilepsia mioclónica severa de la infancia
"('I.', 'infarto agudo del miocardio.')",I.,infarto agudo del miocardio.
"('MOSPSC', 'medical office survey on patient safety culture')",MOSPSC,medical office survey on patient safety culture
"('VBH', 'virus b de la hepatitis')",VBH,virus b de la hepatitis
"('AcM', 'anticuerpos monoclonales')",AcM,anticuerpos monoclonales
"('IL-1 beta', 'interleucina 1 beta')",IL-1 beta,interleucina 1 beta
"('H.P.I.', 'hemosiderosis pulmonar idiopática')",H.P.I.,hemosiderosis pulmonar idiopática
"('HISF', 'hibridación in situ fluorescente')",HISF,hibridación in situ fluorescente
"('GWAS', 'genomewide association studies')",GWAS,genomewide association studies
"('ECA', 'estudios clinicos aleatorizados')",ECA,estudios clinicos aleatorizados
"('DE', 'de 63')",DE,de 63
"('MeSH', 'medical subject headings')",MeSH,medical subject headings
"('iPCSK9', 'inhibidores de proproteína convertasa subtilisina/kexina tipo 9')",iPCSK9,inhibidores de proproteína convertasa subtilisina/kexina tipo 9
"('CTT', 'cefaleas de tipo tensional')",CTT,cefaleas de tipo tensional
"('A/C', 'actividad y cronicidad')",A/C,actividad y cronicidad
"('MIAP', 'maltrato entre iguales por abuso de poder')",MIAP,maltrato entre iguales por abuso de poder
"('SEDAR', 'sociedad española de anestesiología, reanimación y terapia del dolor')",SEDAR,"sociedad española de anestesiología, reanimación y terapia del dolor"
